link,pdf_link,title,doi
https://www.sciencedirect.com/science/article/pii/S1546221825002553,,Amalgamation of Classical and Large Language Models for Duplicate Bug Detection: A Comparative Study,https://doi.org/10.32604/cmc.2025.057792
https://www.sciencedirect.com/science/article/pii/S2772485925000171,https://www.sciencedirect.com/science/article/pii/S2772485925000171/pdfft?md5=4858e8fae3c834593b062dada825a961&pid=1-s2.0-S2772485925000171-main.pdf,LLMs: A game-changer for software engineers?,https://doi.org/10.1016/j.tbench.2025.100204
https://www.sciencedirect.com/science/article/pii/S2667345225000082,https://www.sciencedirect.com/science/article/pii/S2667345225000082/pdfft?md5=da8ff6376b63e59da75af5d1ff5d2818&pid=1-s2.0-S2667345225000082-main.pdf,Generative AI in cybersecurity: A comprehensive review of LLM applications and vulnerabilities,https://doi.org/10.1016/j.iotcps.2025.01.001
https://www.sciencedirect.com/science/article/pii/S266729522400014X,https://www.sciencedirect.com/science/article/pii/S266729522400014X/pdfft?md5=1984f6886539e5ada13eeb8c49a9ef8b&pid=1-s2.0-S266729522400014X-main.pdf,"A survey on large language model (LLM) security and privacy: The Good, The Bad, and The Ugly",https://doi.org/10.1016/j.hcc.2024.100211
https://www.sciencedirect.com/science/article/pii/S092054892400120X,https://www.sciencedirect.com/science/article/pii/S092054892400120X/pdfft?md5=1aeebe19c4ea95d9850576ef0c78add4&pid=1-s2.0-S092054892400120X-main.pdf,The use of large language models for program repair,https://doi.org/10.1016/j.csi.2024.103951
https://www.sciencedirect.com/science/article/pii/S1546221825000992,,A Critical Review of Methods and Challenges in Large Language Models,https://doi.org/10.32604/cmc.2025.061263
https://www.sciencedirect.com/science/article/pii/S1568494624014376,,"Large language models for cyber resilience: A comprehensive review, challenges, and future perspectives",https://doi.org/10.1016/j.asoc.2024.112663
https://www.sciencedirect.com/science/article/pii/S0950584925001363,https://www.sciencedirect.com/science/article/pii/S0950584925001363/pdfft?md5=5b23191de6a5a380167a7214a521afce&pid=1-s2.0-S0950584925001363-main.pdf,A survey of coverage-guided greybox fuzzing with deep neural models,https://doi.org/10.1016/j.infsof.2025.107797
https://www.sciencedirect.com/science/article/pii/S0950584925000977,,Benchmarking large language models for automated labeling: The case of issue report classification,https://doi.org/10.1016/j.infsof.2025.107758
https://www.sciencedirect.com/science/article/pii/S0950584925001053,,SolBERT: Advancing solidity smart contract similarity analysis via self-supervised pre-training and contrastive fine-tuning,https://doi.org/10.1016/j.infsof.2025.107766
https://www.sciencedirect.com/science/article/pii/S0950705125005490,https://www.sciencedirect.com/science/article/pii/S0950705125005490/pdfft?md5=0d95833ee725c5af455e91b32c8df990&pid=1-s2.0-S0950705125005490-main.pdf,A comprehensive survey on integrating large language models with knowledge-based methods,https://doi.org/10.1016/j.knosys.2025.113503
https://www.sciencedirect.com/science/article/pii/S2452414X25000585,,Advancing software security: DCodeBERT for automatic vulnerability detection and repair,https://doi.org/10.1016/j.jii.2025.100834
https://www.sciencedirect.com/science/article/pii/S1383762124001309,,Transformers in source code generation: A comprehensive survey,https://doi.org/10.1016/j.sysarc.2024.103193
https://www.sciencedirect.com/science/article/pii/S2096579624000639,https://www.sciencedirect.com/science/article/pii/S2096579624000639/pdfft?md5=a03f734664dd2f949855d22d9fe2d5b9&pid=1-s2.0-S2096579624000639-main.pdf,InputJump: Augmented reality-facilitated cross-device input fusion based on spatial and semantic information,https://doi.org/10.1016/j.vrih.2024.10.001
https://www.sciencedirect.com/science/article/pii/S0164121224002243,https://www.sciencedirect.com/science/article/pii/S0164121224002243/pdfft?md5=a39163bbaede6f3d8ae30da169d41fa3&pid=1-s2.0-S0164121224002243-main.pdf,An empirical study on bug severity estimation using source code metrics and static analysis,https://doi.org/10.1016/j.jss.2024.112179
https://www.sciencedirect.com/science/article/pii/S0164121224002760,,"Unveiling the microservices testing methods, challenges, solutions, and solutions gaps: A systematic mapping study",https://doi.org/10.1016/j.jss.2024.112232
https://www.sciencedirect.com/science/article/pii/S0950584925001405,,Does it smell? A homogeneous stacking approach for code smell prediction,https://doi.org/10.1016/j.infsof.2025.107801
https://www.sciencedirect.com/science/article/pii/S0167642324001345,,A systematic literature review on dynamic testing of blockchain oriented software,https://doi.org/10.1016/j.scico.2024.103211
https://www.sciencedirect.com/science/article/pii/S0164121224002255,https://www.sciencedirect.com/science/article/pii/S0164121224002255/pdfft?md5=d54471e0503d6c6e1beee84152a7b5ac&pid=1-s2.0-S0164121224002255-main.pdf,An architecture for model-based and intelligent automation in DevOps,https://doi.org/10.1016/j.jss.2024.112180
https://www.sciencedirect.com/science/article/pii/S0164121224000542,https://www.sciencedirect.com/science/article/pii/S0164121224000542/pdfft?md5=1b4768b9e92dc40fd047c37d6f3db0be&pid=1-s2.0-S0164121224000542-main.pdf,A/B testing: A systematic literature review,https://doi.org/10.1016/j.jss.2024.112011
https://www.sciencedirect.com/science/article/pii/S095741742303470X,,An amalgamation of cognitive aspects in software engineering: A content analysis,https://doi.org/10.1016/j.eswa.2023.122968
